Gene symbol	Shprmt1 /Scrmbl	Siprmt1 /Scrmbl	ShprmtOE /Scrmbl	ShprmtOE /Shprmt1	Scrmbl	Shprmt1	Siprmt1	ShprmtOE
LOC101927560	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
UOX	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
DNASE2B	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
LINC01461	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
LINC01555	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
LPAR3	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
CLCA2	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
CLCA1	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
CLCA3P	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
LINC01140	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
LOC101927844	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
LINC01364	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
PKN2-AS1	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
GBP1P1	1.000	1.819	1.000	1.000	0.000	0.000	0.863	0.000
FLJ27354	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
BARHL2	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
HFM1	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
BRDT	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
ABCA4	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
TMEM56-RWDD3	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
LOC101928118	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
FLJ31662	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
LOC100996635	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
LOC102723661	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
LOC101928241	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
DPYD	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
DPYD-AS1	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
DPYD-AS2	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
LOC729987	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
LPPR5	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
LOC100129620	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
LPPR4	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
LOC101928270	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
GPR88	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
LINC01349	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
VCAM1	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
LOC101928370	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
S1PR1	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
LINC01307	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
RNU6-31P	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
OLFM3	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
DNAJA1P5	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
COL11A1	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
LOC101928436	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
AMY2A	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
LOC100129138	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
LOC101928476	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
NTNG1	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
VAV3-AS1	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
NBPF4	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
NBPF6	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
FNDC7	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
AKNAD1	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
SPATA42	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
GPR61	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
GSTM5	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
LINC01397	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
SLC6A17	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
KCNA10	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
KCNA2	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
CD53	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
CHIAP2	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
CHIA	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
PIFO	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
PGCP1	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
C1orf162	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
TMIGD3	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
ADORA3	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
LINC01160	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
FAM212B-AS1	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
LOC101928718	1.000	1.546	1.000	1.000	0.000	0.000	0.629	0.000
KCND3	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
KCND3-IT1	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
LOC643441	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
PTPN22	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
OLFML3	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
SYT6	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
AMPD1	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
SYCP1	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
TSHB	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
NGF	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
LOC101928995	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
LOC101928977	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
LOC101929023	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
C1orf137	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
CD2	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
VTCN1	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
LINC01525	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
LOC100996263	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
WARS2-IT1	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
HAO2	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
HAO2-IT1	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
HSD3B2	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
HSD3B1	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
HSD3BP4	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
LINC00622	1.000	1.273	1.000	1.000	0.000	0.000	0.348	0.000
ADAM30	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
HIST2H2BA	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
FCGR1B	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
SRGAP2-AS1	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
LOC653513	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
HFE2	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
ANKRD35	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
LOC728989	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
RNVU1-8	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
NBPF13P	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
LINC00624	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
GJA5	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
GJA8	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
LOC101927468	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
LOC101060524	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
DRD5P2	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
FCGR1C	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
FCGR1A	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
HIST2H3D	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
LINGO4	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
THEM5	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
LOC100131107	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
TCHHL1	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
RPTN	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
HRNR	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
FLG	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
FLG-AS1	1.000	1.819	1.000	1.000	0.000	0.000	0.863	0.000
FLG2	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
CRNN	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
LCE5A	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
CRCT1	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
LCE3E	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
LCE3D	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
LCE3C	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
LCE3B	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
LCE3A	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
LCE2D	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
LCE2C	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
LCE2B	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
LCE2A	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
LCE4A	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
C1orf68	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
KPRP	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
LCE1F	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
LCE1D	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
LCE1C	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
LCE1B	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
LCE1A	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
LCE6A	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
SMCP	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
IVL	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
SPRR4	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
SPRR2B	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
SPRR2E	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
SPRR2C	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
SPRR2G	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
LOC101928009	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
LELP1	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
PRR9	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
LOR	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
PGLYRP3	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
PGLYRP4	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
S100A9	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
S100A12	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
S100A8	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
S100A7A	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
S100A7L2	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
S100A7	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
LOC343052	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
C1orf189	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
AQP10	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
SHE	1.000	1.273	1.000	1.000	0.000	0.000	0.348	0.000
TDRD10	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
LENEP	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
HCN3	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
POU5F1P4	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
RXFP4	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
BGLAP	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
VHLL	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
TTC24	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
HAPLN2	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
NTRK1	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
FCRL5	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
FCRL4	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
FCRL3	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
FCRL2	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
FCRL1	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
CD5L	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
LOC646268	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
CD1D	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
CD1A	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
CD1B	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
CD1E	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
OR10T2	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
OR10K2	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
OR10K1	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
OR10R2	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
OR6Y1	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
OR6P1	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
OR10X1	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
OR10Z1	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
SPTA1	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
OR6K2	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
OR6K3	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
OR6K6	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
OR6N1	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
OR6N2	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
MNDA	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
PYHIN1	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
AIM2	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
CADM3-AS1	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
ACKR1	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
FCER1A	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
OR10J3	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
OR10J1	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
OR10J5	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
APCS	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
CRP	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
FCRL6	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
SLAMF8	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
SLAMF9	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
KCNJ9	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
ATP1A2	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
ATP1A4	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
SLAMF6	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
CD84	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
SLAMF1	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
CD48	1.000	1.273	1.000	1.000	0.000	0.000	0.348	0.000
SLAMF7	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
ITLN2	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
PCP4L1	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
FCGR3A	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
FCGR2C	1.000	1.546	1.000	1.000	0.000	0.000	0.629	0.000
FCGR3B	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
FCGR2B	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
FCRLA	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
OLFML2B	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
SH2D1B	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
DDR2	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
LOC101928404	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
LOC100422212	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
LMX1A	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
RXRG	1.000	1.819	1.000	1.000	0.000	0.000	0.863	0.000
LOC400794	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
LRRC52	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
LOC440700	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
FMO9P	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
ILDR2	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
MAEL	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
DUSP27	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
LINC01363	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
RCSD1	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
DPT	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
LINC00626	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
LINC00970	1.000	1.819	1.000	1.000	0.000	0.000	0.863	0.000
SELP	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
SELE	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
METTL11B	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
LINC01142	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
LOC101928650	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
MROH9	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
FMO3	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
FMO6P	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
FMO2	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
FMO1	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
MYOC	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
DNM3-IT1	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
DNM3OS	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
FASLG	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
TNFSF18	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
SLC9C2	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
LOC730159	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
SNORD44	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
SNORD75	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
SERPINC1	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
LOC101928696	1.000	1.546	1.000	1.000	0.000	0.000	0.629	0.000
TNN	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
TNR	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
LOC101928751	1.000	1.273	1.000	1.000	0.000	0.000	0.348	0.000
SCARNA3	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
PAPPA2	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
ASTN1	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
BRINP2	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
LOC101928778	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
TEX35	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
TDRD5	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
FAM163A	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
OVAAL	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
GM140	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
ZNF648	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
LINC01344	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
TEDDM1	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
LINC00272	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
RGSL1	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
LOC284648	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
RGS8	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
SHCBP1L	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
APOBEC4	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
GS1-279B7.1	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
LINC01350	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
HMCN1	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
RNU6-72P	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
OCLM	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
PDC	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
PACERR	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
LINC01036	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
BRINP3	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
LINC01351	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
LOC440704	1.000	1.273	1.000	1.000	0.000	0.000	0.348	0.000
RGS18	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
RGS21	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
RGS1	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
RGS13	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
LINC01032	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
LINC01031	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
KCNT2	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
CFH	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
CFHR3	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
CFHR1	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
CFHR4	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
CFHR2	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
CFHR5	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
F13B	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
LHX9	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
ATP6V1G3	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
PTPRC	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
LINC01222	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
LINC01221	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
LINC00862	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
LOC101929224	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
GPR25	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
CACNA1S	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
PKP1	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
RNU6-79P	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
PTPN7	1.000	1.546	1.000	1.000	0.000	0.000	0.629	0.000
LOC100506747	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
MYOG	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
MYBPH	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
CHI3L1	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
CHIT1	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
FMOD	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
OPTC	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
SNORA77	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
LAX1	1.000	1.546	1.000	1.000	0.000	0.000	0.629	0.000
LINC00303	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
LOC101929441	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
REN	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
KLHDC8A	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
LOC284578	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
AVPR1B	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
SRGAP2C	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
IL10	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
IL19	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
IL20	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
IL24	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
CR2	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
CR1L	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
LOC148696	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
CD34	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
CAMK1G	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
HSD11B1	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
SYT14	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
SERTAD4-AS1	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
KCNH1	1.000	1.273	1.000	1.000	0.000	0.000	0.348	0.000
RD3	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
LOC105748977	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
LOC101929541	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
SNORA16B	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000
